0.76,0.9,0.733333333333333,0.976676970225357,0.397262592928228,0.816666666666667,0.04,0.104582503316759,0.066068747264341,0.0232426254014438,0.0405286297680527,0.0234911753103228,0.74,0.82,0.74,0.72,0.78,100,16,0.001,0.1,5,
acc,tnr,tpr,ppv,npv,auc,std_acc,std_tnr,std_tpr,std_ppv,std_npv,std_auc,acc1,acc2,acc3,acc4,acc5,epochs,batch_size,lr,weight_decay,patience,
0.796,0.825,0.790476190476191,0.959747715630069,0.432013574660633,0.807738095238095,0.0328633534503099,0.0684653196881458,0.0391230398217976,0.01490778837144,0.0488990133968915,0.0364871727530403,0.78,0.76,0.84,0.82,0.78,100,16,0.001,0.1,5,
acc,tnr,tpr,ppv,npv,auc,std_acc,std_tnr,std_tpr,std_ppv,std_npv,std_auc,acc1,acc2,acc3,acc4,acc5,epochs,batch_size,lr,weight_decay,patience,
0.632,0.525,0.652380952380952,0.871361250756412,0.240091896407686,0.588690476190476,0.131605471010897,0.104582503316759,0.143451146013258,0.055844570161951,0.0748587566610661,0.112100101798033,0.66,0.72,0.4,0.7,0.68,100,16,0.001,0.1,5,
acc,tnr,tpr,ppv,npv,auc,std_acc,std_tnr,std_tpr,std_ppv,std_npv,std_auc,acc1,acc2,acc3,acc4,acc5,epochs,batch_size,lr,weight_decay,patience,
0.708,0.525,0.742857142857143,0.892023897511702,0.285901027077498,0.633928571428571,0.0501996015920445,0.104582503316759,0.0722178613719195,0.0164127315663423,0.0401244140914089,0.0368735467064401,0.72,0.78,0.7,0.7,0.64,100,16,0.001,0.1,5,
acc,tnr,tpr,ppv,npv,auc,std_acc,std_tnr,std_tpr,std_ppv,std_npv,std_auc,acc1,acc2,acc3,acc4,acc5,epochs,batch_size,lr,weight_decay,patience,
0.772,0.8,0.766666666666667,0.953498261783491,0.403684210526316,0.783333333333333,0.0460434577328854,0.0684653196881458,0.066068747264341,0.0126523802014208,0.0579425639769385,0.0159441609952129,0.72,0.74,0.84,0.78,0.78,100,16,0.001,0.1,5,
acc,tnr,tpr,ppv,npv,auc,std_acc,std_tnr,std_tpr,std_ppv,std_npv,std_auc,acc1,acc2,acc3,acc4,acc5,epochs,batch_size,lr,weight_decay,patience,
0.772,0.85,0.757142857142857,0.964990981240981,0.402987861811391,0.803571428571429,0.0414728827066554,0.136930639376292,0.0516178175920924,0.0311657780545487,0.0612872024557932,0.0645222719901155,0.74,0.74,0.84,0.76,0.78,100,16,0.001,0.1,5,
acc,tnr,tpr,ppv,npv,auc,std_acc,std_tnr,std_tpr,std_ppv,std_npv,std_auc,acc1,acc2,acc3,acc4,acc5,epochs,batch_size,lr,weight_decay,patience,
